postal_code,address,building_name,building_function,latitude,longitude
228231,"40 SCOTTS ROAD, SINGAPORE 228231",ENVIRONMENT BUILDING,Office,,
89763,"200 CANTONMENT ROAD, SINGAPORE 089763",SOUTHPOINT,Office,,
238867,"333 ORCHARD ROAD, SINGAPORE 238867",MANDARIN ORCHARD SINGAPORE,Hotel,,
238875,"400 ORCHARD ROAD, SINGAPORE 238875",ORCHARD TOWERS,Mixed Development,,
188778,"600 NORTH BRIDGE ROAD, SINGAPORE 188778",PARKVIEW SQUARE,Office,,
48545,"14 ROBINSON ROAD, SINGAPORE 048545",FAR EAST FINANCE BUILDING,Office,,
579700,"200 BRADDELL ROAD, SINGAPORE 579700",BCA BRADDELL CAMPUS,Office,,
18971,"1 BAYFRONT AVENUE, SINGAPORE 018971",MARINA BAY SANDS,Mixed Development,,
429979,"1 BROOKE ROAD, SINGAPORE 429979",KATONG PLAZA,Retail,,
68807,"4 SHENTON WAY, SINGAPORE 068807",SGX CENTRE II,Office,,
68804,"2 SHENTON WAY, SINGAPORE 068804",SGX CENTRE I,Office,,
239924,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",SINGAPORE SHOPPING CENTRE,Retail,,
238871,"390 ORCHARD ROAD, SINGAPORE 238871",PALAIS RENAISSANCE,Mixed Development,,
48580,"6 RAFFLES QUAY, SINGAPORE 048580",,Office,,
698928,"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",,Office,,
329543,"6 IRRAWADDY ROAD, SINGAPORE 329543",IBIS SINGAPORE NOVENA,Hotel,,
117438,"10 PASIR PANJANG ROAD, SINGAPORE 117438",MAPLETREE BUSINESS CITY,Office,,
437844,"865 MOUNTBATTEN ROAD, SINGAPORE 437844",KATONG SHOPPING CENTRE,Retail,,
58268,"23 MERCHANT ROAD, SINGAPORE 058268",PARK REGIS SINGAPORE,Hotel,,
238877,"435 ORCHARD ROAD, SINGAPORE 238877",WISMA ATRIA,Retail,,
189621,"30 BENCOOLEN STREET, SINGAPORE 189621",30 BENCOOLEN,Hotel,,
238884,"583 ORCHARD ROAD, SINGAPORE 238884",FORUM,Mixed Development,,
149053,"1 QUEENSWAY, SINGAPORE 149053",QUEENSWAY SHOPPING CENTRE/QUEENSWAY TOWER,Retail,,
188425,"149 ROCHOR ROAD, SINGAPORE 188425",FU LU SHOU COMPLEX,Retail,,
228149,"1 SOPHIA ROAD, SINGAPORE 228149",PEACE CENTRE,Office,,
169875,"52 CHIN SWEE ROAD, SINGAPORE 169875",SEACARE BUILDING,Mixed Development,,
609925,"8 INTERNATIONAL BUSINESS PARK, SINGAPORE 609925",,Office,,
18981,"8 MARINA BOULEVARD, SINGAPORE 018981",MARINA BAY FINANCIAL CENTRE,Office,,
486040,"5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",XILINX BUILDING,Office,,
98679,"23 BEACH VIEW, SINGAPORE 098679","LE MERIDIEN SINGAPORE, SENTOSA",Hotel,,
569814,"61 ANG MO KIO AVENUE 8, SINGAPORE 569814",,Retail,,
129905,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",321 CLEMENTI,Retail,,
258352,"30 ORANGE GROVE ROAD, SINGAPORE 258352",RELC BUILDING,Hotel,,
199001,"100 JALAN SULTAN, SINGAPORE 199001",SULTAN PLAZA,Office,,
338730,"116 LAVENDER STREET, SINGAPORE 338730",PEK CHUAN BUILDING,Office,,
239519,"3 KILLINEY ROAD, SINGAPORE 239519",WINSLAND HOUSE I,Office,,
238463,"163 PENANG ROAD, SINGAPORE 238463",WINSLAND HOUSE II,Office,,
48980,"22 MALACCA STREET, SINGAPORE 048980",RB CAPITAL BUILDING,Office,,
237983,"1 UNITY STREET, SINGAPORE 237983",PARK HOTEL CLARKE QUAY,Hotel,,
179809,"10 COLEMAN STREET, SINGAPORE 179809",GRAND PARK CITY HALL,Hotel,,
98297,"1 THE KNOLLS, SINGAPORE 098297",,Hotel,,
68902,"112 ROBINSON ROAD, SINGAPORE 068902",ROBINSON 112,Office,,
79904,"51 ANSON ROAD, SINGAPORE 079904",ANSON CENTRE,Office,,
189559,"9 BRAS BASAH ROAD, SINGAPORE 189559",RENDEZVOUS HOTEL SINGAPORE,Hotel,,
228210,"9 SCOTTS ROAD, SINGAPORE 228210",PACIFIC PLAZA,Mixed Development,,
228518,"24 MOUNT ELIZABETH, SINGAPORE 228518",THE ELIZABETH,Hotel,,
247905,"1 TANGLIN ROAD, SINGAPORE 247905","ORCHARD RENDEZVOUS HOTEL, SINGAPORE",Hotel,,
178879,"1 SUPREME COURT LANE, SINGAPORE 178879",SUPREME COURT BUILDING,Office,,
59725,"3 HAVELOCK SQUARE, SINGAPORE 059725",,Office,,
169854,"16 COLLEGE ROAD, SINGAPORE 169854",COLLEGE OF MEDICINE BUILDING,Office,,
49709,"60 CECIL STREET, SINGAPORE 049709",ISCA HOUSE,Office,,
188974,"133 MIDDLE ROAD, SINGAPORE 188974",BOC PLAZA,Office,,
49908,"4 BATTERY ROAD, SINGAPORE 049908",BANK OF CHINA BUILDING,Office,,
48581,"16 RAFFLES QUAY, SINGAPORE 048581",HONG LEONG BUILDING,Office,,
49319,"20 COLLYER QUAY, SINGAPORE 049319",20 COLLYER QUAY,Office,,
169879,"175A CHIN SWEE ROAD, SINGAPORE 169879",,Hotel,,
69545,"158 CECIL STREET, SINGAPORE 069545",,Office,,
609914,"5 INTERNATIONAL BUSINESS PARK, SINGAPORE 609914",MEWAH BUILDING,Office,,
169075,"317 OUTRAM ROAD, SINGAPORE 169075",CONCORDE SHOPPING CENTRE,Hotel,,
89057,"11 KEPPEL ROAD, SINGAPORE 089057",ABI PLAZA,Office,,
486066,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",THE SIGNATURE,Office,,
247909,"19 TANGLIN ROAD, SINGAPORE 247909",TANGLIN SHOPPING CENTRE,Mixed Development,,
188504,"1 ROCHOR CANAL ROAD, SINGAPORE 188504",SIM LIM SQUARE,Retail,,
